time,tollgate_id,direction,week,hour,minute,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,count
2016-09-19 00:00:00,1.0,0.0,0.0,0.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,13.0
2016-09-19 00:00:00,1.0,1.0,0.0,0.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,140.0
2016-09-19 00:00:00,2.0,0.0,0.0,0.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2.0
2016-09-19 00:00:00,3.0,0.0,0.0,0.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,17.0
2016-09-19 00:00:00,3.0,1.0,0.0,0.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,181.0
2016-09-19 00:20:00,1.0,0.0,0.0,0.0,20.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,6.0
2016-09-19 00:20:00,1.0,1.0,0.0,0.0,20.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,56.0
2016-09-19 00:20:00,3.0,0.0,0.0,0.0,20.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,16.0
2016-09-19 00:20:00,3.0,1.0,0.0,0.0,20.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,112.0
2016-09-19 00:40:00,1.0,0.0,0.0,0.0,40.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,9.0
2016-09-19 00:40:00,1.0,1.0,0.0,0.0,40.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,31.0
2016-09-19 00:40:00,3.0,0.0,0.0,0.0,40.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,16.0
2016-09-19 00:40:00,3.0,1.0,0.0,0.0,40.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,93.0
2016-09-19 01:00:00,1.0,0.0,0.0,1.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,10.0
2016-09-19 01:00:00,1.0,1.0,0.0,1.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,4.0
