,intersection_id,tollgate_id,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,hour,week,travel_time,predict_travel_time,error rate,rfr_predict_travel_time
0,1,2,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,0,2,58.05,72.8803218719,0.255474967647,58.009
1,1,2,1000.9,1005.8,219.0,3.3,27.5,81.0,0.0,1,2,56.87,73.1843005188,0.286870063632,57.24
2,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,1,2,77.74,79.9887205685,0.0289261714495,60.1440833333
3,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,42.64,80.2926992154,0.883037036008,42.4009722222
4,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,2,2,40.1733333333,80.2926992154,0.998656634968,42.4009722222
5,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,3,2,41.92,80.5966778622,0.922630674195,45.3423055556
6,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,3,2,39.43,80.5966778622,1.04404458185,45.3423055556
7,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,4,2,48.13,80.9006565091,0.680877966115,54.0574166667
8,1,2,1000.5,1005.3,212.0,3.8,31.7,65.0,0.0,4,2,62.1066666667,80.9006565091,0.302608252078,54.0574166667
9,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,4,2,46.115,78.4905583966,0.702061333549,53.8866846032
10,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,5,2,49.556,78.7945370435,0.590010029936,53.252332619
11,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,5,2,54.84,78.7945370435,0.436807750611,53.252332619
12,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,5,2,58.0842857143,78.7945370435,0.356555152129,53.252332619
13,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,6,2,46.356,79.0985156904,0.706327459021,55.1601233333
14,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,6,2,48.588,79.0985156904,0.627943436453,55.1601233333
15,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,6,2,66.6425,79.0985156904,0.186907989502,55.1601233333
16,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,7,2,64.681,79.4024943373,0.227601526526,72.1076746032
17,1,2,999.7,1004.5,239.0,1.9,31.8,64.0,0.0,7,2,85.676,79.4024943373,0.0732236059426,72.1076746032
18,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,7,2,58.9688888889,77.2066907775,0.309278370887,60.9631407407
19,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,8,2,81.6028571429,77.5106694243,0.0501476034276,70.549390764
20,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,8,2,80.2078571429,77.5106694243,0.0336274750958,70.549390764
21,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,8,2,63.4484615385,77.5106694243,0.221631975699,70.549390764
22,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,9,2,78.0511764706,77.8146480712,0.00303042708734,72.9681629955
23,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,9,2,69.0383333333,77.8146480712,0.127122343692,72.9681629955
24,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,9,2,69.6571428571,77.8146480712,0.117109385765,72.9681629955
25,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10,2,78.3115384615,78.1186267181,0.00246338850165,72.6643727272
26,1,2,998.7,1003.5,218.0,2.0,31.5,69.0,0.0,10,2,59.4118181818,78.1186267181,0.314866790965,72.6643727272
27,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,10,2,75.4888888889,73.8844936337,0.0212533960795,72.8015192308
28,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,11,2,72.435,74.1884722806,0.0242075278612,53.8151737528
29,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,11,2,45.9425,74.1884722806,0.614811389903,53.8151737528
30,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,11,2,47.9757142857,74.1884722806,0.546375564912,53.8151737528
31,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12,2,60.1681818182,74.4924509275,0.238070499664,53.2954625583
32,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12,2,49.5275,74.4924509275,0.504062408309,53.2954625583
33,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,12,2,52.1738461538,74.4924509275,0.427773806591,53.2954625583
34,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,13,2,57.8292307692,74.7964295744,0.293401772417,56.9603884874
35,1,2,1000.2,1005.0,215.0,0.7,30.0,77.0,0.0,13,2,57.0911111111,74.7964295744,0.310123907535,56.9603884874
36,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,13,2,61.1263636364,75.0635631168,0.228006356853,63.5817588218
37,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,14,2,65.1145454545,75.3675417637,0.157460921176,67.2878688763
38,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,14,2,74.7066666667,75.3675417637,0.0088462666922,67.2878688763
39,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,14,2,63.825625,75.3675417637,0.180835154591,67.2878688763
40,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15,2,79.4208333333,75.6715204106,0.0472081790802,69.8411375
41,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15,2,72.314,75.6715204106,0.0464297426584,69.8411375
42,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,15,2,58.741,75.6715204106,0.288223224164,69.8411375
43,1,2,1001.0,1005.8,202.0,1.5,29.0,80.0,0.0,16,2,59.6375,75.9754990575,0.273955129868,54.7814166667
